Id,Altitude,Slope_Orientation,Slope,Horizontal_Distance_To_Water,Vertical_Distance_To_Water,Horizontal_Distance_To_Roadways,Shadow_Index_9h,Shadow_Index_12h,Shadow_Index_15h,Horizontal_Distance_To_Fire_Points,Canopy_Density,Rainfall_Summer,Rainfall_Winter,Wind_Exposure_Level,Soil_Type,Wilderness_Area,Vegetation_Type
2088,2768,301,30,365,209,1235,124,211,221,900,69.41,290.43,176.61,61.68,Type_33,Area_3,Type_6
2089,2808,311,27,454,249,1194,138,210,207,902,79.33,372.16,1029.35,62.21,Type_33,Area_3,Type_6
2090,2635,26,21,30,16,1390,204,188,113,1786,52.83,399.75,753.85,33.96,Type_13,Area_3,Type_6
2103,2641,292,27,124,45,1410,133,222,224,977,39.48,426.97,402.74,58.64,Type_33,Area_3,Type_6
2104,2778,301,30,371,219,1262,124,211,221,930,71.75,328.91,468.51,55.72,Type_33,Area_3,Type_6
2106,2645,31,30,90,56,1120,197,162,84,866,49.01,190.94,620.38,39.86,Type_33,Area_3,Type_6
2107,2646,31,22,30,17,1406,208,186,105,1772,81.43,320.49,180.45,19.66,Type_13,Area_3,Type_6
2108,2669,332,27,175,76,1237,149,196,180,1959,84.37,389.44,247.01,36.99,Type_13,Area_3,Type_6
2121,2742,297,29,295,168,1333,127,216,223,967,78.22,173.68,1138.09,18.77,Type_33,Area_3,Type_6
2122,2786,298,29,379,222,1288,128,216,222,960,60.31,310.66,594.02,43.82,Type_33,Area_3,Type_6
2123,2800,300,27,408,241,1275,136,218,217,960,88.03,243.76,178.26,21.98,Type_33,Area_3,Type_6
2124,2541,330,11,0,0,1705,193,226,172,1473,55.07,217.62,376.04,36.97,Type_20,Area_3,Type_6
2125,2647,341,22,30,9,1374,167,200,168,1811,89.05,301.74,348.6,12.47,Type_13,Area_3,Type_6
2126,2716,322,23,319,139,1146,154,209,192,2084,70.08,331.83,355.25,17.14,Type_13,Area_3,Type_6
2139,2548,318,18,0,0,1719,169,221,190,1456,41.24,392.96,654.56,11.05,Type_13,Area_3,Type_6
2140,2688,333,26,150,75,1298,152,197,179,1907,81.49,375.35,341.4,6.51,Type_13,Area_3,Type_6
2141,2714,330,25,270,127,1209,151,200,183,2017,79.14,378.12,866.62,8.0,Type_13,Area_3,Type_6
2142,2721,331,25,300,137,1188,153,200,181,2045,62.45,266.72,122.89,40.42,Type_13,Area_3,Type_6
2143,2728,330,23,323,-24,1167,158,204,182,2072,72.61,375.49,856.6,45.22,Type_13,Area_3,Type_6
2151,2812,279,25,430,245,1328,146,234,224,1020,50.11,297.73,848.97,20.78,Type_13,Area_3,Type_6
2153,2651,28,29,42,21,1230,195,164,90,755,72.72,306.96,1002.57,39.04,Type_33,Area_3,Type_6
2154,2583,298,31,67,42,1682,118,211,225,1492,79.56,258.74,966.47,48.31,Type_13,Area_3,Type_6
2155,2601,297,31,95,65,1657,119,212,225,1518,36.04,224.32,978.23,29.5,Type_13,Area_3,Type_6
2156,2630,299,29,153,95,1606,127,214,221,1571,44.39,272.6,195.16,58.21,Type_13,Area_3,Type_6
2157,2671,309,26,120,42,1531,141,213,208,1650,38.52,304.72,1002.83,60.06,Type_13,Area_3,Type_6
2174,2649,16,24,0,0,1273,192,183,119,721,81.34,414.95,1044.98,11.86,Type_20,Area_3,Type_6
2175,2622,288,26,134,86,1648,139,228,224,1530,43.63,318.31,1166.4,9.7,Type_13,Area_3,Type_6
2176,2685,25,19,30,15,1476,207,196,120,1718,80.22,332.75,233.39,34.89,Type_13,Area_3,Type_6
2187,1889,353,30,95,39,67,153,172,146,600,82.27,200.82,986.62,24.76,Type_5,Area_4,Type_6
2192,2692,29,25,124,62,1277,202,177,100,706,84.43,328.63,745.57,64.76,Type_33,Area_3,Type_6
2193,2686,23,26,95,56,1283,195,176,107,700,70.24,383.15,780.89,64.4,Type_33,Area_3,Type_6
2194,2664,23,28,30,15,1302,191,168,100,691,63.63,301.78,277.18,19.11,Type_20,Area_3,Type_6
2196,2699,6,15,60,29,1518,201,210,145,1678,56.82,367.59,408.19,49.98,Type_13,Area_3,Type_6
2197,2753,334,27,216,-18,1273,149,194,178,1984,57.62,299.59,758.16,58.38,Type_13,Area_3,Type_6
2202,1905,19,27,134,58,120,188,171,108,636,36.64,151.06,130.03,47.01,Type_5,Area_4,Type_6
2210,2689,31,26,60,40,1324,203,173,93,663,84.65,230.92,983.28,14.5,Type_33,Area_3,Type_6
2211,2741,331,26,150,-1,1379,150,197,182,1861,75.24,369.91,808.01,62.24,Type_13,Area_3,Type_6
2215,1879,28,19,30,12,95,209,196,117,778,73.6,210.19,343.07,39.42,Type_5,Area_4,Type_6
2216,1874,18,14,0,0,90,208,209,135,793,48.29,446.88,99.99,7.83,Type_5,Area_4,Type_6
2222,2734,34,28,201,104,1323,204,168,85,664,62.44,358.03,140.8,14.15,Type_33,Area_3,Type_6
2223,2724,36,28,175,94,1321,205,167,81,655,35.79,387.71,207.21,48.79,Type_33,Area_3,Type_6
2224,2565,62,17,0,0,1729,232,202,97,1276,44.51,227.01,578.93,53.78,Type_20,Area_3,Type_6
2225,2606,319,41,108,53,1772,88,169,202,1409,30.74,283.3,618.52,19.19,Type_13,Area_3,Type_6
2226,2660,319,37,180,12,1650,102,179,203,1544,58.13,347.73,995.89,18.78,Type_13,Area_3,Type_6
2227,2767,331,24,134,-4,1358,157,203,181,1907,48.08,281.93,844.27,10.28,Type_13,Area_3,Type_6
2230,1905,33,27,90,46,150,204,171,89,725,48.0,184.39,407.1,40.39,Type_1,Area_4,Type_6
2231,1908,323,32,150,52,120,125,190,196,765,74.59,384.31,227.28,59.23,Type_5,Area_4,Type_6
2232,1919,44,26,162,68,150,216,173,77,706,32.89,366.2,409.29,13.97,Type_5,Area_4,Type_6
2233,1906,356,20,150,55,120,184,201,151,726,84.17,346.75,898.74,50.09,Type_2,Area_4,Type_6
2234,1888,33,22,150,46,108,209,185,103,735,81.14,196.53,357.96,39.42,Type_2,Area_4,Type_6
2235,1863,37,17,120,18,90,217,202,115,769,70.07,230.4,1017.25,61.4,Type_2,Area_4,Type_6
2242,2618,301,52,124,59,1789,0,157,231,1396,32.08,217.79,1113.78,59.75,Type_13,Area_3,Type_6
2243,2723,339,18,60,21,1575,178,211,170,1643,64.97,425.42,163.26,49.06,Type_13,Area_3,Type_6
2244,2745,320,25,67,2,1464,147,207,195,1784,89.73,207.35,1131.87,10.44,Type_13,Area_3,Type_6
2245,2755,319,25,85,2,1442,148,209,197,1812,81.34,388.49,121.25,57.01,Type_13,Area_3,Type_6
2246,2771,327,21,95,0,1401,163,210,184,1869,61.29,440.0,945.79,25.93,Type_13,Area_3,Type_6
2247,2792,336,18,150,-9,1321,177,212,173,1983,33.82,368.13,683.49,22.9,Type_13,Area_3,Type_6
2252,1904,51,26,67,30,162,222,175,72,711,84.58,247.37,1079.3,62.59,Type_1,Area_4,Type_6
2253,1972,15,34,216,123,190,170,152,101,721,70.15,152.14,677.32,62.01,Type_5,Area_4,Type_6
2254,1927,54,25,190,76,175,225,177,71,735,79.76,354.51,482.21,5.25,Type_1,Area_4,Type_6
2255,1898,34,23,175,56,134,210,184,99,765,82.74,230.6,156.54,25.27,Type_2,Area_4,Type_6
2261,2761,34,29,228,124,1263,201,162,80,607,76.43,366.38,103.28,47.2,Type_33,Area_3,Type_6
2262,2700,356,19,42,5,1263,186,203,152,570,66.12,376.54,213.13,34.97,Type_24,Area_3,Type_6
2263,2581,311,24,30,10,1702,148,215,204,1275,83.55,216.3,866.11,26.83,Type_13,Area_3,Type_6
2264,2707,336,22,180,37,1687,165,203,175,1521,56.6,300.3,160.68,20.97,Type_13,Area_3,Type_6
2265,2785,324,19,85,0,1403,170,217,185,1888,66.43,255.06,1051.22,20.57,Type_13,Area_3,Type_6
2266,2801,14,15,228,-5,1273,205,209,138,2089,67.88,381.57,435.57,38.72,Type_13,Area_3,Type_6
2271,1896,337,12,30,6,175,195,224,168,732,36.25,376.09,540.77,64.66,Type_5,Area_4,Type_6
2272,1951,33,36,150,96,150,188,137,60,907,53.07,409.61,113.77,58.35,Type_5,Area_4,Type_6
2273,1916,320,24,190,60,162,151,210,195,832,59.26,413.59,825.6,47.34,Type_5,Area_4,Type_6
2274,1983,334,33,210,134,180,128,177,177,779,69.13,385.1,496.01,52.13,Type_5,Area_4,Type_6
2275,1992,358,33,228,143,212,151,160,132,750,87.03,272.4,882.58,30.01,Type_5,Area_4,Type_6
2276,1977,42,33,256,128,228,205,149,55,752,66.04,444.54,787.27,22.88,Type_5,Area_4,Type_6
2277,1916,24,25,212,74,175,197,177,105,789,74.62,263.88,812.89,27.12,Type_2,Area_4,Type_6
2286,2793,18,25,295,163,1239,192,178,113,604,46.61,351.53,1047.58,34.93,Type_33,Area_3,Type_6
2287,2736,55,26,134,63,1230,225,174,66,547,88.29,237.57,743.79,8.76,Type_24,Area_3,Type_6
2288,2724,56,25,108,43,1230,227,180,72,543,49.88,296.91,621.34,10.42,Type_24,Area_3,Type_6
2289,2761,314,20,30,8,1506,163,220,195,1765,58.92,183.13,109.42,43.01,Type_13,Area_3,Type_6
2294,1936,48,28,127,57,190,217,168,68,644,60.99,219.02,1192.71,23.04,Type_1,Area_4,Type_6
2295,1903,5,13,42,4,201,203,214,148,708,30.33,172.97,885.36,19.9,Type_1,Area_4,Type_6
2296,1901,311,9,30,2,190,195,234,179,726,30.46,425.97,697.03,50.26,Type_1,Area_4,Type_6
2297,1928,252,31,30,14,180,138,243,233,765,43.14,309.12,681.67,49.02,Type_1,Area_4,Type_6
2298,1967,40,35,180,112,180,199,143,54,918,32.2,269.02,138.58,13.93,Type_5,Area_4,Type_6
2299,1927,333,27,218,72,190,149,195,180,859,36.48,310.51,1152.62,25.95,Type_5,Area_4,Type_6
2300,1944,339,30,240,93,210,142,181,169,815,50.33,338.49,1120.28,18.0,Type_5,Area_4,Type_6
2313,2805,26,24,309,168,1209,202,182,107,577,59.61,329.95,484.1,57.55,Type_33,Area_3,Type_6
2314,2796,42,26,283,147,1206,214,175,82,564,72.14,159.96,465.87,41.01,Type_33,Area_3,Type_6
2315,2591,311,25,30,13,1637,144,213,205,1222,89.57,174.48,103.12,11.44,Type_13,Area_3,Type_6
2316,2715,313,11,218,33,1748,189,231,182,1471,37.89,294.48,1186.38,50.98,Type_13,Area_3,Type_6
2317,2786,316,21,0,0,1487,161,218,195,1813,46.48,271.85,769.32,50.35,Type_13,Area_3,Type_6
2332,2729,355,17,134,34,1172,189,207,154,481,33.57,197.01,1040.92,50.95,Type_33,Area_3,Type_6
2333,2782,330,21,30,16,1550,165,209,181,1747,66.23,312.24,942.66,18.93,Type_13,Area_3,Type_6
2334,2788,326,21,30,16,1530,164,212,186,1776,71.2,179.66,507.21,62.22,Type_13,Area_3,Type_6
2335,2802,322,19,0,0,1490,169,218,187,1834,36.87,245.55,110.88,42.33,Type_13,Area_3,Type_6
2341,1919,30,22,67,9,256,208,188,107,661,75.07,193.72,946.87,57.5,Type_1,Area_4,Type_6
2342,1964,233,31,90,42,240,153,249,218,787,34.26,219.0,508.86,53.72,Type_1,Area_4,Type_6
2343,2010,303,30,300,161,270,125,210,218,866,34.81,335.43,268.0,45.48,Type_5,Area_4,Type_6
2344,2062,360,30,300,213,272,162,171,135,845,51.29,170.23,978.05,20.52,Type_5,Area_4,Type_6
2345,1983,11,35,300,132,270,162,148,103,871,86.5,289.42,459.29,63.22,Type_5,Area_4,Type_6
2356,2739,32,16,175,44,1140,215,204,122,454,37.23,156.56,1076.66,22.04,Type_33,Area_3,Type_6
2362,1970,9,24,285,115,270,185,184,128,942,55.32,417.67,725.45,59.42,Type_1,Area_4,Type_6
2363,1968,45,35,277,118,272,206,142,44,918,47.7,360.01,237.18,60.63,Type_5,Area_4,Type_6
2376,2762,66,20,234,67,1110,235,197,85,437,46.52,304.5,1026.96,13.15,Type_24,Area_3,Type_6
2377,2777,328,23,150,28,1697,159,207,184,1587,48.38,293.98,831.83,57.69,Type_13,Area_3,Type_6
2378,2819,330,19,60,24,1537,173,214,179,1819,77.34,331.41,265.6,41.04,Type_13,Area_3,Type_6
2380,1980,3,22,300,125,300,185,193,140,927,77.9,430.31,1101.41,54.72,Type_1,Area_4,Type_6
2381,2055,327,37,360,206,330,108,172,189,918,79.35,222.16,410.46,35.57,Type_5,Area_4,Type_6
2382,2094,21,25,361,245,335,194,178,110,902,81.45,232.21,998.94,26.44,Type_5,Area_4,Type_6
2383,2048,61,32,379,199,362,227,157,38,900,85.0,426.22,407.39,13.33,Type_1,Area_4,Type_6
2384,2013,343,36,360,162,331,126,162,160,924,55.86,173.02,1132.8,39.22,Type_5,Area_4,Type_6
2385,2027,2,39,360,176,330,139,138,114,930,49.13,332.87,1105.04,38.19,Type_5,Area_4,Type_6
2401,2812,336,20,108,17,1617,170,207,174,1725,50.44,318.36,600.01,54.81,Type_13,Area_3,Type_6
2402,2828,334,19,90,33,1560,175,212,175,1812,34.3,328.83,99.29,39.61,Type_13,Area_3,Type_6
2405,1949,347,22,60,28,330,173,199,161,708,70.63,205.55,668.86,36.49,Type_1,Area_4,Type_6
2406,1999,28,15,270,77,330,213,207,127,886,66.35,316.45,855.13,40.53,Type_1,Area_4,Type_6
2407,2105,32,25,361,41,365,205,178,97,932,51.88,366.67,449.18,54.26,Type_5,Area_4,Type_6
2408,2042,41,32,371,-21,400,206,154,62,932,43.07,421.19,255.18,28.66,Type_1,Area_4,Type_6
2428,1946,49,17,30,4,330,225,202,105,595,87.36,298.23,1048.22,55.17,Type_1,Area_4,Type_6
2429,1946,319,17,0,0,360,175,222,187,642,48.84,407.1,332.82,25.16,Type_1,Area_4,Type_6
2430,1964,343,21,60,35,360,174,204,166,691,83.3,313.85,796.79,7.84,Type_1,Area_4,Type_6
2431,2058,28,32,342,-5,430,191,155,82,962,66.18,273.5,202.24,35.59,Type_5,Area_4,Type_6
2446,2798,66,18,361,103,1024,234,200,90,391,48.14,330.61,926.17,14.2,Type_24,Area_3,Type_6
2447,2832,339,20,162,37,1663,175,208,170,1712,45.56,348.44,156.8,6.06,Type_13,Area_3,Type_6
2456,1962,69,22,42,2,300,237,190,72,553,38.35,386.28,525.01,12.9,Type_1,Area_4,Type_6
2457,2051,295,25,391,196,400,141,224,219,969,56.64,158.32,164.41,24.97,Type_1,Area_4,Type_6
2458,2063,293,24,404,0,408,147,227,217,997,67.57,167.07,726.18,28.45,Type_5,Area_4,Type_6
2459,2084,335,38,404,20,420,111,163,175,1019,59.33,170.15,491.49,22.81,Type_5,Area_4,Type_6
2460,2101,1,31,446,37,420,160,165,130,1020,54.11,369.31,479.5,61.07,Type_5,Area_4,Type_6
2474,2607,39,10,0,0,1401,221,217,130,1034,73.33,197.65,381.07,20.85,Type_20,Area_3,Type_6
2475,2836,344,19,212,41,1725,178,206,165,1648,62.0,384.73,723.74,60.04,Type_13,Area_3,Type_6
2476,2855,345,14,180,60,1615,192,217,163,1825,82.2,362.37,545.91,62.74,Type_31,Area_3,Type_6
2478,2103,4,13,0,0,417,202,214,148,390,77.43,184.87,788.39,8.41,Type_10,Area_4,Type_6
2479,2093,47,12,30,-6,342,224,214,122,400,37.49,401.52,199.98,6.41,Type_10,Area_4,Type_6
2480,2094,358,22,42,16,216,180,193,146,474,77.65,382.98,763.12,33.78,Type_10,Area_4,Type_6
2481,2091,29,25,60,10,201,202,176,99,492,46.55,248.18,652.78,64.98,Type_10,Area_4,Type_6
2485,1992,288,17,247,70,420,169,236,206,819,57.76,155.62,568.77,56.55,Type_1,Area_4,Type_6
2486,2089,274,25,342,25,450,145,237,227,1044,88.86,267.48,546.33,24.18,Type_1,Area_4,Type_6
2487,2096,351,36,295,32,474,132,154,143,1024,59.0,172.45,752.06,6.64,Type_5,Area_4,Type_6
2499,2833,327,20,268,38,1789,169,214,183,1554,88.84,435.2,1012.43,15.29,Type_13,Area_3,Type_6
2500,2868,337,16,218,73,1606,184,217,171,1879,54.46,182.66,353.74,12.17,Type_31,Area_3,Type_6
2501,2104,7,26,60,4,339,180,180,129,379,79.65,159.87,601.9,28.41,Type_10,Area_4,Type_6
2506,1988,79,18,60,20,247,241,204,87,469,36.56,290.42,858.13,59.14,Type_1,Area_4,Type_6
2514,2869,342,13,240,74,1681,193,220,166,1786,60.63,341.88,964.59,18.75,Type_31,Area_3,Type_6
2515,2132,15,25,30,6,424,189,180,119,446,67.6,286.71,1031.83,39.14,Type_10,Area_4,Type_6
2519,2006,23,14,95,21,201,211,209,132,404,71.26,296.55,1054.83,48.87,Type_10,Area_4,Type_6
2520,1979,34,21,190,41,480,211,189,105,713,73.36,396.8,849.72,43.77,Type_1,Area_4,Type_6
2521,2075,285,27,319,11,503,134,227,227,997,71.55,233.62,314.05,27.36,Type_1,Area_4,Type_6
2529,2871,356,15,272,76,1740,196,213,154,1723,30.53,254.27,1081.83,46.48,Type_31,Area_3,Type_6
2530,2138,9,25,108,32,424,185,183,127,306,89.87,448.45,965.59,54.96,Type_10,Area_4,Type_6
2534,1983,17,21,228,45,510,197,190,123,731,30.86,400.54,1089.63,50.64,Type_1,Area_4,Type_6
2535,2001,271,15,309,81,510,179,244,204,816,74.27,207.76,1068.05,25.04,Type_1,Area_4,Type_6
2536,2054,285,24,342,-3,518,147,232,221,931,80.05,362.82,920.12,24.46,Type_1,Area_4,Type_6
2537,2112,237,25,234,48,540,167,252,214,1065,74.43,168.42,1119.32,44.77,Type_1,Area_4,Type_6
2549,2877,359,12,301,82,1765,202,218,153,1719,54.43,304.33,804.67,24.38,Type_31,Area_3,Type_6
2550,2883,341,16,301,88,1698,186,215,167,1839,33.96,320.85,1098.36,25.31,Type_34,Area_3,Type_6
2551,2144,24,26,120,16,566,196,174,103,309,50.93,155.62,97.67,33.75,Type_10,Area_4,Type_6
2552,2126,344,17,153,30,323,183,211,164,382,36.66,363.37,238.66,48.05,Type_10,Area_4,Type_6
2557,2025,13,19,120,3,212,198,197,132,342,61.35,354.74,736.92,46.84,Type_10,Area_4,Type_6
2558,2003,23,24,95,35,418,198,180,109,552,47.97,175.62,602.52,62.55,Type_10,Area_4,Type_6
2559,1988,354,18,150,28,474,188,206,154,607,34.61,337.95,969.5,44.53,Type_10,Area_4,Type_6
2560,2022,261,26,376,100,541,146,242,229,866,60.04,234.23,268.65,21.52,Type_1,Area_4,Type_6
2561,2083,225,25,255,25,569,178,254,203,1012,77.67,302.1,513.29,15.9,Type_1,Area_4,Type_6
2570,2622,260,18,0,0,1406,173,247,210,1150,85.75,382.2,474.77,53.24,Type_20,Area_3,Type_6
2571,2883,343,9,331,88,1789,202,227,163,1717,54.31,234.59,162.06,8.71,Type_34,Area_3,Type_6
2572,2180,33,31,134,54,532,197,155,76,319,84.37,236.37,708.39,11.39,Type_10,Area_4,Type_6
2573,2116,58,31,192,71,268,225,160,46,433,49.29,421.81,768.49,24.52,Type_10,Area_4,Type_6
2577,2005,352,14,309,67,570,194,214,158,771,88.74,187.45,242.02,11.73,Type_1,Area_4,Type_6
2578,2063,221,24,258,5,589,184,254,197,977,66.21,388.98,263.25,56.56,Type_1,Area_4,Type_6
2595,2183,330,25,180,58,552,153,201,182,212,38.57,236.71,255.04,20.84,Type_10,Area_4,Type_6
2596,2148,3,22,210,50,384,183,191,139,319,76.52,255.39,695.2,50.42,Type_10,Area_4,Type_6
2607,2038,237,20,295,-19,607,179,253,206,912,32.81,199.66,678.33,21.07,Type_1,Area_4,Type_6
2614,2210,41,26,190,77,541,213,174,82,277,74.45,293.88,1137.24,46.98,Type_10,Area_4,Type_6
2615,2175,353,20,210,52,631,181,200,154,216,48.98,347.43,983.38,62.55,Type_10,Area_4,Type_6
2616,2168,43,22,240,61,458,218,186,92,234,36.11,279.81,1128.91,17.41,Type_2,Area_4,Type_6
2617,2147,51,24,255,101,323,223,180,78,376,51.61,353.83,1198.46,32.94,Type_10,Area_4,Type_6
2631,2036,61,29,30,14,319,229,168,52,351,67.96,371.57,99.15,43.31,Type_1,Area_4,Type_6
2632,2020,15,23,180,44,510,194,187,123,582,72.23,238.17,1139.61,45.31,Type_10,Area_4,Type_6
2633,2022,340,15,342,-35,631,188,217,168,849,30.26,322.41,698.33,15.52,Type_1,Area_4,Type_6
2634,2114,239,11,127,56,660,200,249,186,949,40.02,274.67,869.71,21.96,Type_1,Area_4,Type_6
2642,2660,238,26,42,12,1473,163,251,217,1291,36.32,394.02,212.82,29.75,Type_4,Area_3,Type_6
2644,2141,86,27,240,91,300,247,184,49,390,68.65,328.59,327.35,41.95,Type_2,Area_4,Type_6
2645,2085,77,32,150,35,210,240,164,29,474,32.89,201.19,830.39,49.42,Type_10,Area_4,Type_6
2654,2036,34,20,331,74,658,213,193,109,726,33.14,205.53,914.18,24.01,Type_10,Area_4,Type_6
2655,2035,353,20,365,-22,660,181,200,154,815,76.05,441.57,238.57,45.01,Type_10,Area_4,Type_6
2666,2215,331,26,270,92,636,149,197,182,134,47.72,235.44,460.88,37.29,Type_10,Area_4,Type_6
2667,2188,27,16,295,67,525,212,205,126,170,38.2,183.56,815.63,48.42,Type_10,Area_4,Type_6
2668,2070,87,25,120,20,180,247,190,57,495,69.1,339.46,515.89,43.87,Type_10,Area_4,Type_6
